source,target,type,stiffness,distance_m,structural_penalty,weight,src_type,tgt_type
22,23,support,1.1,4.86,0.1,0.4860917164270599,girder,pier
22,24,support,1.1,15.23,0.1,1.5225721189077435,girder,pier
26,27,support,1.1,3.81,0.1,0.38063751433122306,girder,pier
26,28,support,1.1,20.14,0.1,2.0143331492059287,girder,pier
30,31,support,1.1,9.76,0.1,0.9760675996274222,girder,pier
32,28,support,1.1,3.83,0.1,0.38277078302529155,girder,pier
34,35,support,1.1,4.02,0.1,0.40188664463335705,girder,pier
36,31,support,1.1,54.02,0.1,5.401969249921476,girder,pier
36,28,support,1.1,64.8,0.1,6.479509079724874,girder,pier
36,29,support,0.9,27.08,0.8,21.664481390176864,girder,ground
38,39,support,1.1,3.4,0.1,0.340412682299703,girder,pier
38,40,support,1.1,14.95,0.1,1.4948777635062098,girder,pier
38,35,support,1.1,55.99,0.1,5.59887350927848,girder,pier
42,31,support,1.1,39.81,0.1,3.98145917805117,girder,pier
42,35,support,1.1,39.86,0.1,3.985555747097618,girder,pier
44,31,support,1.1,53.72,0.1,5.371607936871548,girder,pier
45,31,support,1.1,38.74,0.1,3.8741440940248872,girder,pier
45,33,support,0.9,10.0,0.8,7.998505798731284,girder,ground
49,51,girder,0.97,16.27,0.4,6.507069289166203,girder,girder
49,27,support,1.1,194.83,0.1,19.482891647945777,girder,pier
51,24,support,1.1,76.26,0.1,7.626214673017583,girder,pier
24,25,support,1.0,12.93,0.8,10.346023383399364,pier,ground
27,53,support,1.0,15.14,0.8,12.110100263283904,pier,ground
35,37,support,1.0,23.96,0.8,19.171147280397562,pier,ground
39,41,support,1.0,15.5,0.8,12.39782026814791,pier,ground
32,27,support,1.1,20.18,0.1,2.0175415403086894,girder,pier
45,35,support,1.1,41.38,0.1,4.1375899425824505,girder,pier
34,39,support,1.1,56.37,0.1,5.6372962999151355,girder,pier
34,40,support,1.1,57.23,0.1,5.723315128540838,girder,pier
44,28,support,1.1,67.79,0.1,6.778625530780857,girder,pier
44,27,support,1.1,68.46,0.1,6.846311103277991,girder,pier
36,27,support,1.1,69.66,0.1,6.966238474396526,girder,pier
51,23,support,1.1,76.9,0.1,7.690045073448541,girder,pier
30,35,support,1.1,77.86,0.1,7.785531157833247,girder,pier
34,31,support,1.1,78.58,0.1,7.858051819968928,girder,pier
49,23,support,1.1,79.14,0.1,7.914286583397462,girder,pier
49,24,support,1.1,80.92,0.1,8.092339442949035,girder,pier
45,40,support,1.1,94.26,0.1,9.426151503427747,girder,pier
42,40,support,1.1,95.46,0.1,9.545990139443663,girder,pier
42,39,support,1.1,95.57,0.1,9.556804636491105,girder,pier
45,39,support,1.1,96.21,0.1,9.620709723374079,girder,pier
