source,target,type,stiffness,distance_m,structural_penalty,weight,src_type,tgt_type,importance,in_mst
22,23,support,1.1,4.86,0.1,0.4860917164270599,girder,pier,critical,True
26,27,support,1.1,3.81,0.1,0.38063751433122306,girder,pier,critical,True
30,31,support,1.1,9.76,0.1,0.9760675996274222,girder,pier,critical,True
32,28,support,1.1,3.83,0.1,0.38277078302529155,girder,pier,critical,True
34,35,support,1.1,4.02,0.1,0.40188664463335705,girder,pier,critical,True
36,31,support,1.1,54.02,0.1,5.401969249921476,girder,pier,critical,True
38,39,support,1.1,3.4,0.1,0.340412682299703,girder,pier,critical,True
42,31,support,1.1,39.81,0.1,3.98145917805117,girder,pier,critical,True
44,31,support,1.1,53.72,0.1,5.371607936871548,girder,pier,critical,True
45,31,support,1.1,38.74,0.1,3.8741440940248872,girder,pier,critical,True
49,51,girder,0.97,16.27,0.4,6.507069289166203,girder,girder,important,True
49,27,support,1.1,194.83,0.1,19.482891647945777,girder,pier,critical,True
51,24,support,1.1,76.26,0.1,7.626214673017583,girder,pier,critical,True
23,25,support,1.0,13.89,0.08,1.1115193524080222,pier,ground,critical,True
24,25,support,1.0,12.93,0.08,1.0346023383399365,pier,ground,critical,True
27,53,support,1.0,15.14,0.08,1.2110100263283905,pier,ground,critical,True
28,29,support,1.0,42.16,0.08,3.3729484940258123,pier,ground,critical,True
28,53,support,1.0,16.23,0.08,1.298252756235541,pier,ground,critical,True
31,29,support,1.0,78.19,0.08,6.2549441481718135,pier,ground,critical,True
31,33,support,1.0,38.62,0.08,3.0899423251942553,pier,ground,critical,True
35,33,support,1.0,42.28,0.08,3.382554568383111,pier,ground,critical,True
35,37,support,1.0,23.96,0.08,1.9171147280397562,pier,ground,critical,True
39,41,support,1.0,15.5,0.08,1.239782026814791,pier,ground,critical,True
40,37,support,1.0,34.65,0.08,2.772232503872847,pier,ground,critical,True
40,41,support,1.0,16.43,0.08,1.3147467376342123,pier,ground,critical,True
