source,target,type,stiffness,distance_m,structural_penalty,structural_score,weight,src_type,tgt_type,importance,in_mst
22,23,support,1.1,4.23,0.1,0.0915457665804875,0.4227116709756251,girder,pier,important,True
22,24,support,1.1,15.04,0.1,0.0699292443907692,1.5035377804615404,girder,pier,important,True
26,27,support,1.1,3.97,0.1,0.0920681674925336,0.39659162537332027,girder,pier,important,True
26,28,support,1.1,20.17,0.1,0.059651825141700046,2.017408742914998,girder,pier,important,True
30,31,support,1.1,10.22,0.1,0.07955389563713972,1.022305218143015,girder,pier,important,True
32,28,support,1.1,3.99,0.1,0.09202720946373744,0.3986395268131282,girder,pier,important,True
34,35,support,1.1,5.04,0.1,0.08992204633599343,0.503897683200328,girder,pier,important,True
36,31,support,1.1,54.08,0.1,0.0,5.4077418371347195,girder,pier,important,True
38,39,support,1.1,4.22,0.1,0.09155533791628159,0.4222331041859206,girder,pier,important,True
38,40,support,1.1,15.16,0.1,0.06968789332411666,1.5156053337941666,girder,pier,important,True
42,31,support,1.1,39.94,0.1,0.02011403831338601,3.9942980843307,girder,pier,important,True
44,31,support,1.1,53.77,0.1,0.0,5.377413116681795,girder,pier,important,True
45,31,support,1.1,38.87,0.1,0.022253250971457552,3.887337451427123,girder,pier,important,True
49,51,girder,0.97,16.27,0.4,0.26985861421667595,6.507069289166203,girder,girder,important,True
49,27,support,1.1,194.76,0.1,0.0,19.47627959764378,girder,pier,important,True
51,24,support,1.1,75.8,0.1,0.0,7.579680088166564,girder,pier,important,True
24,25,support,1.0,25.43,0.08,0.5440198022304956,2.034172558682882,pier,ground,important,True
27,53,support,1.0,25.76,0.08,0.539398018144029,2.060582753462692,pier,ground,important,True
28,29,support,1.0,47.03,0.08,0.24156642342213128,3.7624775804449646,pier,ground,important,True
31,29,support,1.0,80.92,0.08,0.2,6.473313085024454,pier,ground,important,True
31,33,support,1.0,43.89,0.08,0.2855730418317015,3.511011189533135,pier,ground,important,True
35,33,support,1.0,47.14,0.08,0.24005898038329254,3.7710915406669,pier,ground,important,True
35,37,support,1.0,31.76,0.08,0.4553902981666951,2.5406268676188852,pier,ground,important,True
39,41,support,1.0,26.3,0.08,0.5318624083421419,2.103643380902046,pier,ground,important,True
40,37,support,1.0,40.65,0.08,0.3309531413621729,3.251696335073298,pier,ground,important,True
42,45,girder,0.97,14.58,0.4,0.28333519091723014,5.833240454138493,girder,girder,important,False
36,44,girder,0.97,16.36,0.4,0.2690921544815616,6.545392275921921,girder,girder,important,False
26,32,girder,0.96,22.29,0.4,0.22165434480887997,8.917282759556004,girder,girder,important,False
